Order No,Time from Pickup to Arrival
Order_No_19248,6362357.557347477
Order_No_12736,4997460.712459209
Order_No_768,4454945.708688214
Order_No_15332,5312252.087998058
Order_No_21373,4448713.8135434985
Order_No_14573,6939712.93096192
Order_No_6731,3788948.9284899677
Order_No_18436,3352469.466951612
Order_No_2288,3549639.790457003
Order_No_9063,6229827.978343214
Order_No_4814,3740862.7250181795
Order_No_16747,5980254.061702047
Order_No_6376,5401092.761568196
Order_No_1199,4079192.25693198
Order_No_17119,5955645.394582187
Order_No_14832,5621006.514260125
Order_No_12321,3404807.692958251
Order_No_24820,3519389.9929709425
Order_No_6065,3900613.6356364996
Order_No_13176,4039532.6054439824
Order_No_23557,5224498.536663214
Order_No_20488,3743990.1682589296
Order_No_24214,5251446.598627877
Order_No_21206,3936320.723121011
Order_No_1930,3812708.9205514193
Order_No_28180,5680955.538326755
Order_No_13329,3805527.507443319
Order_No_19004,5286749.148451909
Order_No_27510,5426681.988270974
Order_No_25394,5784643.592174653
Order_No_11299,4253626.119629002
Order_No_21269,3426828.1263814503
Order_No_3565,4934877.507591349
Order_No_6473,4288696.527588168
Order_No_6258,4010483.6121198502
Order_No_27480,5001451.919909044
Order_No_23302,4947109.412454525
Order_No_16731,4637145.957860194
Order_No_21353,4301969.191993516
Order_No_10610,4749939.5128138475
Order_No_5930,5676985.944336622
Order_No_5171,3885511.313252374
Order_No_21590,5381416.00705938
Order_No_643,4362895.910452098
Order_No_6308,4744624.017928229
Order_No_16885,3713879.713977867
Order_No_5421,4629743.733545361
Order_No_21864,5633561.724775092
Order_No_11618,5214605.080008503
Order_No_27514,4745517.691142489
Order_No_26356,4617949.716076296
Order_No_20174,3276845.357328779
Order_No_23193,6319051.928238823
Order_No_17568,5140234.38042686
Order_No_25549,5387286.682341535
Order_No_23942,5083061.008160281
Order_No_25817,5498856.833732916
Order_No_16582,3995771.8406232484
Order_No_25259,4788360.268635008
Order_No_7311,4565540.243916338
Order_No_6198,5912206.397176387
Order_No_18810,5829987.055462802
Order_No_26162,5700218.922080436
Order_No_4192,4165685.2365450533
Order_No_28224,3689627.8966230447
Order_No_15612,3152706.8511275207
Order_No_21556,4842554.89834568
Order_No_15698,4330127.299660713
Order_No_2619,5600270.246682995
Order_No_10710,4463091.801426147
Order_No_17906,5854642.133186335
Order_No_24831,3955733.5063830535
Order_No_15312,4532994.207105397
Order_No_17599,4560219.54645237
Order_No_8759,5075482.210826403
Order_No_18102,4217728.540404224
Order_No_19596,5872379.28288785
Order_No_18174,3881220.37281525
Order_No_18641,5806015.628988569
Order_No_7568,5156068.652907324
Order_No_23561,3654678.369623573
Order_No_21212,6180742.493665982
Order_No_19352,5769996.630679209
Order_No_13038,6310137.322290217
Order_No_14688,4291127.94069962
Order_No_5155,6120207.594465482
Order_No_26963,4258373.43320759
Order_No_25662,3669639.343152563
Order_No_22324,6237392.246809403
Order_No_4080,4782218.988543752
Order_No_2551,5474256.315662598
Order_No_6576,5099421.710391624
Order_No_23150,6210281.738421303
Order_No_12488,5894536.4873203905
Order_No_14209,4386290.486469922
Order_No_14944,4013910.195208218
Order_No_105,4049385.0824462753
Order_No_6400,4071044.9856481543
Order_No_23670,5811115.6399380835
Order_No_11927,6198410.000510933
Order_No_672,3756222.320114165
Order_No_24305,4351154.585386798
Order_No_23438,6099211.287166941
Order_No_11297,4010037.9818290058
Order_No_25875,4823352.312034392
Order_No_2483,5851378.967594642
Order_No_22525,4498581.059368779
Order_No_85,3795554.782620173
Order_No_25252,5145407.802416624
Order_No_16007,3616033.117573923
Order_No_10988,4123020.35777944
Order_No_15321,6025693.442606738
Order_No_16080,5211948.306801003
Order_No_11090,4954258.986683693
Order_No_21090,3734805.1901768628
Order_No_1621,6072013.585865654
Order_No_24456,7497229.780019103
Order_No_5036,4134194.4454875444
Order_No_15675,5510423.462862632
Order_No_5672,5115225.336973796
Order_No_4333,3700103.2781482656
Order_No_20768,5158182.5487443665
Order_No_12336,4673678.190099521
Order_No_12293,5343723.365445342
Order_No_6103,4960594.717601084
Order_No_25920,4680883.281528079
Order_No_2159,3346724.4745040787
Order_No_13215,3738479.563549542
Order_No_15620,5864271.655344569
Order_No_27406,4478603.270575081
Order_No_3092,6763855.535280418
Order_No_21088,5440516.694151571
Order_No_6448,4080761.438644192
Order_No_23769,3654737.712322936
Order_No_2640,5219782.277945352
Order_No_19108,7190145.679205045
Order_No_2796,5358976.535451419
Order_No_16473,5516419.308269874
Order_No_2754,4948918.11931536
Order_No_2678,5689876.652733315
Order_No_12053,3824110.5425105616
Order_No_17071,5096647.917281168
Order_No_4656,4294980.281243022
Order_No_27607,5932248.556077549
Order_No_6709,4254326.228151329
Order_No_25036,6083160.911801
Order_No_16694,3504040.637683054
Order_No_24366,4055125.038745898
Order_No_9590,5888315.209431884
Order_No_5658,3650779.749477945
Order_No_13152,3410562.417851136
Order_No_27538,4633495.732927768
Order_No_2782,4213836.83574117
Order_No_1311,5872935.6226279745
Order_No_10249,5126994.999026949
Order_No_2624,5766406.941892384
Order_No_27601,4344959.695586299
Order_No_4252,3901903.401643242
Order_No_22149,3920213.82392489
Order_No_2699,5695901.300268895
Order_No_12371,6510041.913550481
Order_No_14848,4368158.10427903
Order_No_10438,6047306.329979579
Order_No_23513,6683246.031459123
Order_No_9878,4122226.429011773
Order_No_9218,4745386.869487258
Order_No_28256,5616048.171996331
